有一点儿	有一点儿 abit
加勒比海	加勒比海 Caribbean
欢乐之歌	欢乐之歌 carol
四轮马车	四轮马车 carriage carriage
继续下去	继续下去 carryon on
经济作物	经济作物 cashcrop
呱呱地叫	呱呱地叫 caw
百分度的	百分度的 centigrade
当然可以	当然可以 certainly
冠军称号	冠军称号 championship
改变主意	改变主意 changeone'smind
性格培养	性格培养 charactertraining
要求收费	要求收费 charge
索价费用	索价费用 charge
巧克力糖	巧克力糖 chocolate
基督教徒	基督教徒 Christian
民权法案	民权法案 CivilRightsAct
同班同学	同班同学 classmate
把清除掉	把清除掉 clearaway
天气放晴	天气放晴 clearup
咬紧牙关	咬紧牙关 clench
不灵活的	不灵活的 clumsy
可口可乐	可口可乐 CocaCola
苏醒过来	苏醒过来 comebacktolife
来吧现实	来吧现实 cometrue
共产主义	共产主义 communism
正式会议	正式会议 conference
有联系的	有联系的 connected
咕咕地叫	咕咕地叫 coo
抄写副本	抄写副本 copy
对的改正	对的改正 correct
长沙发椅	长沙发椅 couch
全体船员	全体船员 crew
机组人员	机组人员 crew
关键性的	关键性的 critical
十字路口	十字路口 crossing
人行横道	人行横道 crossing
大声呼喊	大声呼喊 cryout
立方体的	立方体的 cubic
立方形的	立方形的 cubic
文化上的	文化上的 cultural
齐根割掉	齐根割掉 cutup
日日夜夜	日日夜夜 dayandnight
一天天地	一天天地 daybyday
防御工事	防御工事 defenceworks
百货商场	百货商场 departmentstore
有决心的	有决心的 determined
直接引语	直接引语 directspeech
不利条件	不利条件 disadvantage
不同意见	不同意见 disagree
意见不同	意见不同 disagreement
做件好事	做件好事 doagooddeed
预习功课	预习功课 doone'slessons
复习功课	复习功课 doone'slessons
付诸行动	付诸行动 dothedeed
双光眼镜	双光眼镜 doublespectacles
得出结论	得出结论 drawaconclusion
童装穿衣	童装穿衣 dress
钻头落下	钻头落下 drill
顺便走访	顺便走访 dropin
欧洲金币	欧洲金币 ducat
东部非洲	东部非洲 EastAfrica
经济学的	经济学的 economic
爱因斯坦	爱因斯坦 Einstein
不是就是	不是就是 eitheror
无止境的	无止境的 endless
火车司机	火车司机 engineer
英国男人	英国男人 Englishman
享受乐趣	享受乐趣 enjoy
过得愉快	过得愉快 enjoyoneself
耳鼻喉科	耳鼻喉科 ENT
欧洲联盟	欧洲联盟 EuropeanUnion
节日前夕	节日前夕 eve
无论何时	无论何时 ever whenever
从那时起	从那时起 eversince fromthenon
每样东西	每样东西 everything
无论哪里	无论哪里 everywhere
恰恰正是	恰恰正是 exactly
使兴奋的	使兴奋的 excite
对不起。	对不起。 Excuseme
有经验的	有经验的 experienced
幻想中的	幻想中的 fairy
神话故事	神话故事 fairytales
最喜爱的	最喜爱的 favorite
觉得想做	觉得想做 feellikedoing
战地医院	战地医院 fieldhospital
野战医院	野战医院 fieldhospital
消防人员	消防人员 firefighter
固定装置	固定装置 fixture
火焰般的	火焰般的 flaming
足球运动	足球运动 football
高速公路	高速公路 freeway
法国人的	法国人的 French
无经验的	无经验的 fresh
不熟练的	不熟练的 fresh
一代一代	一代一代 fromgenerationtogeneration
世世代代	世世代代 fromgenerationtogeneration
从此以后	从此以后 fromnowon
长柄平锅	长柄平锅 fryingpan
有趣的事	有趣的事 fun
滑稽可笑	滑稽可笑 funny
更进一步	更进一步 further
一般说来	一般说来 generallyspeaking
天才人物	天才人物 genius
和睦相处	和睦相处 getalong
为准备好	为准备好 getreadyfor
有天赋的	有天赋的 gifted
有才华的	有才华的 gifted learned
为而献身	为而献身 giveone'slifefor
精疲力竭	精疲力竭 giveout
匆匆一看	匆匆一看 glance
vi闪耀	vi闪耀 glare
向人瞪眼	向人瞪眼 glareat
怒目注视	怒目注视 glareat
继续进行	继续进行 goaheadwith
足球球门	足球球门 goal goal
食物变坏	食物变坏 gobad
坐飞机去	坐飞机去 gobyair
出去散步	出去散步 goforawalk gooutforawalk
很有礼貌	很有礼貌 goodmanners
举行罢工	举行罢工 goonstrike
上电影院	上电影院 gotothecinema
去看电影	去看电影 gotothecinema
姑且承认	姑且承认 grant
地球引力	地球引力 gravity
蔬菜商人	蔬菜商人 greengrocer
水果商人	水果商人 greengrocer
楼房底层	楼房底层 groundfloor
渐渐变得	渐渐变得 grow
长大成人	长大成人 growup
防护装置	防护装置 guard
把手使用	把手使用 handle
把拿出来	把拿出来 handout takeout
把挂起来	把挂起来 hangup
偶然发生	偶然发生 happen
对有天赋	对有天赋 haveagiftfor
旅行愉快	旅行愉快 haveagoodtrip
进行测验	进行测验 haveatest
一丝不挂	一丝不挂 havenothingon
直升飞机	直升飞机 helicopter
有帮助的	有帮助的 helpful
把藏起来	把藏起来 hid hidden hide
多小山的	多小山的 hilly
业余爱好	业余爱好 hobby
举行会议	举行会议 holdameeting
趾高气扬	趾高气扬 holdone'sheadhigh
家庭作业	家庭作业 homework
给以荣誉	给以荣誉 honour
有希望地	有希望地 hopefully
极讨厌的	极讨厌的 horrible
用马拉的	用马拉的 horsedrawn
家庭主妇	家庭主妇 housewife
家务劳动	家务劳动 housework
无论如何	无论如何 however
匈牙利的	匈牙利的 Hungarian
十二级风	十二级风 hurricane
习惯用语	习惯用语 idiom phrase
不规范的	不规范的 illformed
不可能的	不可能的 impossible
一刹那间	一刹那间 inaflash
总而言之	总而言之 inaword
在战斗中	在战斗中 inbattle
上着镣铐	上着镣铐 inchains
在囚禁中	在囚禁中 inchains
有主见的	有主见的 independent
印度人的	印度人的 Indian
非直接的	非直接的 indirect
进入室内	进入室内 indoors
为了纪念	为了纪念 inhonourof
成一直线	成一直线 inline
也就是说	也就是说 inotherwords
换句话说	换句话说 inotherwords
作为报答	作为报答 inreturn
坚持认为	坚持认为 insiston
坚决要求	坚决要求 insiston
公共机构	公共机构 institution
发生兴趣	发生兴趣 interest
感兴趣的	感兴趣的 interested
有意思的	有意思的 interesting
境遇相同	境遇相同 inthesameboat
同舟共济	同舟共济 inthesameboat
看不见的	看不见的 invisible
爱尔兰的	爱尔兰的 Irish
不规则的	不规则的 irregular
我明白了	我明白了 Isee
意大利的	意大利的 Italian
没有关系	没有关系 Itdoesn'tmatter
日本人的	日本人的 Japanese
爵士音乐	爵士音乐 jazz
爵士舞曲	爵士舞曲 jazz
连接起来	连接起来 joinup
联合起来	联合起来 joinup
开玩笑地	开玩笑地 jokingly
等一会儿	等一会儿 justamoment
不久以前	不久以前 justnow
正在那时	正在那时 justthen
记录下来	记录下来 keeparecord
阻止向前	阻止向前 keepback
保持健康	保持健康 keepfit
保持平衡	保持平衡 keepone'sbalance
履行诺言	履行诺言 keepone'spromise
不让进来	不让进来 keepout
使不进入	使不进入 keepoutof
保持沉默	保持沉默 keepsilent
关键人物	关键人物 keyfigure
把踢出去	把踢出去 kickout
蚕花娘子	蚕花娘子 LadySilkworm
大片陆地	大片陆地 landmass
刚过去的	刚过去的 last
拉丁语族	拉丁语族 Latinfamily
摆设餐具	摆设餐具 laythetable
最主要的	最主要的 leading
过的生活	过的生活 leadlife
腿固定器	腿固定器 legbrace
很可能的	很可能的 likely
没有多少	没有多少 little
有生气的	有生气的 lively
以为主食	以为主食 liveon
生活条件	生活条件 livingconditions
一条面包	一条面包 loaf
很久以前	很久以前 longago longbefore
仔细查看	仔细查看 lookaround lookround lookthrough
封建领主	封建领主 lord
运货汽车	运货汽车 lorry
载货卡车	载货卡车 lorry
失去信心	失去信心 loseheart
丧失视力	丧失视力 loseone'ssight
有魔力的	有魔力的 magic
作出决定	作出决定 makeadecision
冲过去拿	冲过去拿 makeadivefor
为作计划	为作计划 makeaplanfor
录制唱片	录制唱片 makearecord
量入为出	量入为出 makeendsmeet
与交朋友	与交朋友 makefriendswith
制成做成	制成做成 makeinto
使转变为	使转变为 makeinto
证明论点	证明论点 makeone'spoint
取得进步	取得进步 makeprogress
很有意义	很有意义 makesense
发出声音	发出声音 makesounds sound
整理床铺	整理床铺 makethebed
设法对付	设法对付 manage
最大限度	最大限度 maximum
最大量的	最大量的 maximum
五月二日	五月二日 May2nd
医疗护理	医疗护理 medicalcare
体格检查	体格检查 medicalexamination
金属制造	金属制造 metal
百万富翁	百万富翁 millionaire
成百万的	成百万的 millionsof
开采矿物	开采矿物 mine
少数民族	少数民族 minority
可移动的	可移动的 mobile
或多或少	或多或少 moreorless
多少有点	多少有点 moreorless
口对口的	口对口的 mouthtomouth
继续移动	继续移动 moveon
科克先生	科克先生 MrCook
比好得多	比好得多 muchbetterthan
了不起的	了不起的 muchof
全国性的	全国性的 national nationwide
博物学家	博物学家 naturalist
神经质的	神经质的 nervous
网状系统	网状系统 network
从来没有	从来没有 never
不必顾虑	不必顾虑 nevermind
新闻记者	新闻记者 newspaperreporter
新闻影片	新闻影片 newsreel
紧挨着的	紧挨着的 next
尼日利亚	尼日利亚 Nigeria
运气不佳	运气不佳 noluck
非暴力的	非暴力的 nonviolent
非白种人	非白种人 nonwhite
诺曼第人	诺曼第人 Norman
一点也不	一点也不 notatall
没有东西	没有东西 nothing
不但而且	不但而且 notonlybutalso
直到之前	直到之前 notuntil
原子核的	原子核的 nuclear
原子能的	原子能的 nuclear
核动力的	核动力的 nuclear
核废弃物	核废弃物 nuclearwaste
高级职员	高级职员 official
官方语言	官方语言 officiallanguage
雾都孤儿	雾都孤儿 OliverTwist
奥林匹克	奥林匹克 Olympic
进行下去	进行下去 on
很早以前	很早以前 onceuponatime
一只眼的	一只眼的 oneeyed
才唯一的	才唯一的 only
另一方面	另一方面 ontheotherhand
不早不晚	不早不晚 ontime
施行手术	施行手术 operate
给动手术	给动手术 operateon
外科手术	外科手术 operation
口头上的	口头上的 oral
运行轨道	运行轨道 orbit
有秩序的	有秩序的 orderly
组织起来	组织起来 organize
别的东西	别的东西 other
我们自己	我们自己 ourselves
我们亲自	我们亲自 ourselves
外部空间	外部空间 outerspace
被放逐者	被放逐者 outlaw
电源插座	电源插座 outlet
没有工作	没有工作 outofwork
在另一处	在另一处 over
所有关系	所有关系 ownership
太平洋的	太平洋的 Pacific
一大堆的	一大堆的 packsof
桨形工具	桨形工具 paddle
使痛苦的	使痛苦的 painful
巴基斯坦	巴基斯坦 Pakistan
小块土地	小块土地 patch
付出代价	付出代价 payforsth
黑色便士	黑色便士 PennyBlack
物理学家	物理学家 physicist
一堆堆的	一堆堆的 pilesandpilesof
可惜的事	可惜的事 pity
塑料制品	塑料制品 plastic plastics
游戏伙伴	游戏伙伴 playmate
扮演角色	扮演角色 playtheroleof
使人高兴	使人高兴 please
使人满意	使人满意 please
有礼貌的	有礼貌的 polite
有教养的	有教养的 polite
流行音乐	流行音乐 popmusic
流行歌手	流行歌手 popstar
受欢迎的	受欢迎的 popstar
葡萄牙语	葡萄牙语 Portuguese
邮政局长	邮政局长 postmaster
倾盆而下	倾盆而下 pour pourdown
强有力的	强有力的 powerful strong
无力量的	无力量的 powerless
草原犬鼠	草原犬鼠 prairiedog
普林斯顿	普林斯顿 Princeton
很有能的	很有能的 probable
普鲁士人	普鲁士人 Prussian
渡过难关	渡过难关 pullthrough
脱离险境	脱离险境 pullthrough
把向上推	把向上推 pushup
把收起来	把收起来 putaway
把放进来	把放进来 putin
增加体重	增加体重 putonweight
四分之一	四分之一 quarter
颇有几个	颇有几个 quiteafew
小型考试	小型考试 quiz
种族歧视	种族歧视 racialdiscrimination
放射性的	放射性的 radioactive
放射现象	放射现象 radioactivity
倒不如说	倒不如说 ratherthan
伸手去够	伸手去够 reach
准备好的	准备好的 ready
有道理的	有道理的 reasonable
转移呼叫	转移呼叫 redirect redirection
使改方向	使改方向 redirect
更改方向	更改方向 redirection
水中映像	水中映像 reflection
相互依存	相互依存 relativity
宗教信仰	宗教信仰 religion
其余的人	其余的人 remainder
vi再婚	vi再婚 remarry
请向致意	请向致意 Remembermeto
修理工作	修理工作 repairs
研究人员	研究人员 researcher
剩余部分	剩余部分 rest
其余休息	其余休息 rest
重新统一	重新统一 reunite
重新使用	重新使用 reuse
循环使用	循环使用 reuse
骑自行车	骑自行车 ride
乘车旅行	乘车旅行 ride
右边权利	右边权利 right
挂断电话	挂断电话 ringoff
起来反抗	起来反抗 riseup
环绕一周	环绕一周 round
有桨的船	有桨的船 rowboat
合成橡胶	合成橡胶 rubber
赛跑的人	赛跑的人 runner
女售货员	女售货员 salesgirl
同样的事	同样的事 same
一模一样	一模一样 same
夹馅面包	夹馅面包 sandwich
旧金山湾	旧金山湾 SanFranciscoBay
自然科学	自然科学 science
苏格兰的	苏格兰的 Scots
苏格兰人	苏格兰人 Scottish
发尖叫声	发尖叫声 screech
航海技术	航海技术 seamanship
第二手的	第二手的 secondhand
派人去叫	派人去叫 sendfor
派人去请	派人去请 sendfor
把往上送	把往上送 sendup
灵敏元件	灵敏元件 sensor
使和分离	使和分离 separatefrom
动脑筋的	动脑筋的 serious
创新纪录	创新纪录 setanewrecord
树立榜样	树立榜样 setanexample
释放某人	释放某人 setfree
莎士比亚	莎士比亚 Shakespeare
遗憾的事	遗憾的事 shame
共同使用	共同使用 share
分享某事	分享某事 shareinsomething
把装上船	把装上船 ship
男式衬衫	男式衬衫 shirt
商店橱窗	商店橱窗 shopwindow
之后立即	之后立即 shortlyafter
高声呼喊	高声呼喊 shout
舒兹伯利	舒兹伯利 Shrewsbury
肩并肩地	肩并肩地 sidebyside
无对话的	无对话的 silent
高度赞扬	高度赞扬 singhighpraisefor
有技能的	有技能的 skilled
摩天大楼	摩天大楼 skyscraper
奴隶制度	奴隶制度 slavery
反应慢的	反应慢的 slow
散发气味	散发气味 smell smelt
有臭味的	有臭味的 smelly
消除障碍	消除障碍 smoothaway
克服困难	克服困难 smoothaway
轻蔑地笑	轻蔑地笑 sneer
这样看来	这样看来 so
社会主义	社会主义 socialism
索芙朗妮	索芙朗妮 Sofronie
不知怎地	不知怎地 somehow
宇宙飞船	宇宙飞船 spaceship
西班牙语	西班牙语 Spanish
空余时间	空余时间 sparetime
业余时间	业余时间 sparetime
清楚地说	清楚地说 speakout
迅速前进	迅速前进 speed
加快速度	加快速度 speedup
拼写课本	拼写课本 spellingbook
花费金钱	花费金钱 spend
花费时间	花费时间 spend
正方形的	正方形的 square
四方块的	四方块的 square
平方公里	平方公里 squarekilometres
站在旁边	站在旁边 standby
立足之地	立足之地 standingroom
手杖粘粘	手杖粘粘 stick
静止不动	静止不动 still
狂暴天气	狂暴天气 storm
漫步	漫步 stroll
同作斗争	同作斗争 struggleagainst
仔细观察	仔细观察 study
仔细考虑	仔细考虑 study thinkover useone'shead
有成就的	有成就的 successful
这样的人	这样的人 such
手提皮箱	手提皮箱 suitcase
超级市场	超级市场 supermarket
有把握的	有把握的 sure
摇动	摇动 sway
四处游动	四处游动 swimabout
接通电流	接通电流 switchon
关收音机	关收音机 switchtheradiooff
随身带着	随身带着 takealong
采取行动	采取行动 takeanaction
对感兴趣	对感兴趣 takeaninterestin
照一张相	照一张相 takeaphotograph
认为当然	认为当然 takeforgranted
跟人学习	跟人学习 takelessons
站在一边	站在一边 takesides
支持某人	支持某人 takethesideof
拿起武器	拿起武器 takeuparms
储水容器	储水容器 tank
煤气龙头	煤气龙头 tap
磁带录音	磁带录音 taperecording
出租汽车	出租汽车 taxi
同队队员	同队队员 teammate
连根拔起	连根拔起 tearup
泰晤士河	泰晤士河 Thames
巴士底狱	巴士底狱 theBastille
路之终点	路之终点 theendoftheroad
第二层楼	第二层楼 thefirstfloor
林肯一家	林肯一家 theLincoln
神秘城堡	神秘城堡 theMagicCastle
它们自己	它们自己 themselves
诺贝尔奖	诺贝尔奖 theNobelPrize
独立战争	独立战争 theWarofIndependence
工人阶级	工人阶级 theworkingclass
国际广播	国际广播 theWorldService
匆匆脱掉	匆匆脱掉 throwoff
一段时间	一段时间 time while while
太而不能	太而不能 tooto
直到今天	直到今天 tothisday
生意交易	生意交易 trade
培训中心	培训中心 trainingcentre
运输工具	运输工具 transport
长途旅行	长途旅行 travel
金银财宝	金银财宝 treasure
成群结队	成群结队 troop
竭尽所能	竭尽所能 tryone'sbest
选拔表演	选拔表演 tryout
参加选拔	参加选拔 tryout
把打发走	把打发走 turnaway
把翻过来	把翻过来 turover
闪闪发光	闪闪发光 twinkle
联合王国	联合王国 UK
在下划线	在下划线 underline
不公平的	不公平的 unfair unjust
不公正的	不公正的 unfair
不合适的	不合适的 unfit
不健康的	不健康的 unhealthy
不卫生的	不卫生的 unhealthy
不重要的	不重要的 unimportant
不亲切的	不亲切的 unkind
不知道的	不知道的 unknown
卸下货物	卸下货物 unload
未看见的	未看见的 unseen
未销售的	未销售的 unsold
不成功的	不成功的 unsuccessful
直到为止	直到为止 until
未动过的	未动过的 untouched
不常见的	不常见的 unusual
不平常的	不平常的 unusual
上上下下	上上下下 upanddown upanddown
前前后后	前前后后 upanddown
来来回回	来来回回 upanddown
乱七八糟	乱七八糟 upsidedown
在楼上的	在楼上的 upstairs
过去常常	过去常常 usedto
有价值的	有价值的 valuable worth worthy
维多利亚	维多利亚 Victoria
电视电话	电视电话 videophone
可视电话	可视电话 videophone
暴力行为	暴力行为 violence
排队等候	排队等候 waitinline
女服务员	女服务员 waitress
预先通知	预先通知 warn
滑水运动	滑水运动 waterskiing
vi流泪	vi流泪 weep
真是遗憾	真是遗憾 Whatapity
无论什么	无论什么 whatever
什么时候	什么时候 when
当的时候	当的时候 when while
或者或者	或者或者 whetheror
无论哪个	无论哪个 whichever
无论哪些	无论哪些 whichever
在的时候	在的时候 while
分布广的	分布广的 widespread
野生动物	野生动物 wildlife
心甘情愿	心甘情愿 willing
蜿蜒前进	蜿蜒前进 windone'sway
观看橱窗	观看橱窗 windowshop
无线电的	无线电的 wireless
无线电话	无线电话 wirelesstelephone
有智慧的	有智慧的 wise
有见识的	有见识的 wise
羊毛制的	羊毛制的 woollen
继续工作	继续工作 workaway
努力学习	努力学习 workhardat
最恶劣的	最恶劣的 worst
有毛病的	有毛病的 wrong
少先队员	少先队员 YoungPioneer
苏黎世	苏黎世 Zurich
有点儿	有点儿 abit
能干的	能干的 able
一大块	一大块 ablockof
在上面	在上面 above ontopof up upon
上面的	上面的 above
到国外	到国外 abroad
在国外	在国外 abroad
缺席的	缺席的 absent
抽象的	抽象的 abstract
深奥的	深奥的 abstract
使认识	使认识 acquaint
使了解	使了解 acquaint
另一边	另一边 across
积极的	积极的 active
主动的	主动的 active
能动性	能动性 activity
男演员	男演员 actor
女演员	女演员 actress
实际的	实际的 actual practical
现实的	现实的 actual
实际上	实际上 actually infact
加法机	加法机 addingmachine
通讯处	通讯处 address
形容词	形容词 adjective
先进的	先进的 advanced
高级的	高级的 advanced senior
做广告	做广告 advertise
登广告	登广告 advertisement
非洲的	非洲的 African
在后面	在后面 after behind behind
别忘了	别忘了 afterall
放学后	放学后 afterschool
下课后	下课后 afterschool
再一次	再一次 again onceagain oncemore
再三地	再三地 againandagain
反复地	反复地 againandagain
加油站	加油站 agasstation
大量的	大量的 greatdeal agreatdeal great much packsof
很多的	很多的 agoodmany great
农业的	农业的 agricultural
农学的	农学的 agricultural
在前面	在前面 ahead aheadof before infrontof
在前头	在前头 ahead
航空站	航空站 airport
飞机场	飞机场 airport
所有的	所有的 all
全部的	全部的 all entire
一辈子	一辈子 allone'slife
差不多	差不多 almost nearly
单独的	单独的 alone separate
和一起	和一起 along
出声地	出声地 aloud
大声地	大声地 aloud
字母表	字母表 alphabet
美国的	美国的 American
美洲的	美洲的 American
美国人	美国人 American
美洲人	美洲人 American
在中间	在中间 among between inthemiddleof
在之间	在之间 among
艾默利	艾默利 Amory
发怒地	发怒地 angrily
愤怒地	愤怒地 angrily
发怒的	发怒的 angry
生气的	生气的 angry angry
愤怒的	愤怒的 angry
脚脖子	脚脖子 ankle
开幕式	开幕式 anopeningceremony
不同的	不同的 another different various
另一个	另一个 another theother
对负责	对负责 answerfor
留言机	留言机 answeringmachine
南极洲	南极洲 Antarctica
抗生素	抗生素 antibiotics
渴望的	渴望的 anxious eager
忧虑的	忧虑的 anxious
焦急的	焦急的 anxious
任何的	任何的 any
任何人	任何人 anybody anyone
什么事	什么事 anything
任何事	任何事 anything
愚人节	愚人节 AprilFools'Day
建筑师	建筑师 architect
建筑学	建筑学 architecture
扶手椅	扶手椅 armchair
在周围	在周围 around around
艺术品	艺术品 art
美术家	美术家 artist
艺术家	艺术家 artist
象一样	象一样 as
事实上	事实上 asamatteroffact inactualfact
烟灰缸	烟灰缸 ashtray
亚洲的	亚洲的 Asian
在一边	在一边 aside
睡着的	睡着的 asleep
使惊讶	使惊讶 astonish
惊人的	惊人的 astonishing
同样地	同样地 aswell
早餐时	早餐时 atbreakfast
在家里	在家里 athome athome
未被捕	未被捕 atlarge
在夜里	在夜里 atnight
在晚上	在晚上 atnight
在中午	在中午 atnoon
原子的	原子的 atomic
在学校	在学校 atschool
在航海	在航海 atsea
注意地	注意地 attentively
在岁月	在岁月 attheageof
在岁时	在岁时 attheageof
在底端	在底端 atthebottom
在边上	在边上 attheedgeof
在末梢	在末梢 attheendof
不超过	不超过 atthemost
在工作	在工作 atwork
奥地利	奥地利 Austria
平均的	平均的 average
醒着的	醒着的 awake
后面的	后面的 back hind
向后的	向后的 backward
腐败的	腐败的 bad
严重的	严重的 bad serious severe
粗糙地	粗糙地 badly
严重地	严重地 badly
恶劣地	恶劣地 badly
银行家	银行家 banker
赤脚的	赤脚的 barefooted
廉价货	廉价货 bargain
根据地	根据地 base
基本的	基本的 basic prime
平衡木	平衡木 beam
为担心	为担心 beanxiousabout
美丽的	美丽的 beautiful lovely pretty
优美的	优美的 beautiful
出生于	出生于 beborn comefrom
忙着做	忙着做 bebusydoing
贝多芬	贝多芬 Beethoven
对熟悉	对熟悉 befamiliarwith
在之前	在之前 before to
充满的	充满的 befullof full
从开始	从开始 begiwith
请原谅	请原谅 begone'spardon
对不起	对不起 begone'spardon sorry
感兴趣	感兴趣 beinterestedin
比利时	比利时 Belgium
减压舱	减压舱 bellows
在下面	在下面 below under
由制造	由制造 bemadefrom
在制造	在制造 bemadein
用制造	用制造 bemadeof
由组成	由组成 bemadeupof
由构成	由构成 bemadeupof
工作台	工作台 bench
使弯曲	使弯曲 bend
在罢工	在罢工 beonstrike
以为荣	以为荣 beproudof
以自豪	以自豪 beproudof takepridein
与有关	与有关 berelatedto havedowith
在旁边	在旁边 beside
除以外	除以外 besides
最好的	最好的 best
最好地	最好地 best
畅销书	畅销书 bestseller
被撕开	被撕开 betornopen
较好的	较好的 better
更好的	更好的 better
不合适	不合适 beunfitfor
不胜任	不胜任 beunfitfor
习惯于	习惯于 beusedto getusedto
有毛病	有毛病 bewrongwith
在那边	在那边 beyond over overthere
在远处	在远处 beyond
脚踏车	脚踏车 bicycle bike
自行车	自行车 bicycle bike cycle
重要的	重要的 big great important main
生物学	生物学 biology
出生地	出生地 birthplace
一点地	一点地 bitbybit
怀恨的	怀恨的 bitter
厉害的	厉害的 bitter
苦苦地	苦苦地 bitterly
悲痛地	悲痛地 bitterly
黑色的	黑色的 black
布莱克	布莱克 Black
羊毛毯	羊毛毯 blanket
短上衣	短上衣 blouse
女衬衫	女衬衫 blouse
蓝色的	蓝色的 blue
小轮船	小轮船 boat
罗宾汉	罗宾汉 BobinHood
身势语	身势语 bodylanguage
水开了	水开了 boil
使沸腾	使沸腾 boil
长统靴	长统靴 boot
厌烦的	厌烦的 bored
波士顿	波士顿 Boston
植物学	植物学 botany
男朋友	男朋友 boyfriend
固定器	固定器 brace
点字法	点字法 braille
布兰敦	布兰敦 Brandon
勇敢的	勇敢的 brave
出毛病	出毛病 breakdown
不运转	不运转 breakdown
简洁的	简洁的 brief
明亮的	明亮的 bright light
耀眼的	耀眼的 bright glaring
聪明的	聪明的 bright clever wise
伶俐的	伶俐的 bright clever smart
光辉的	光辉的 brilliant
辉煌的	辉煌的 brilliant splendid
灿烂地	灿烂地 brilliantly
使倒下	使倒下 bringdown
使前进	使前进 bringon
不列颠	不列颠 Britain
英国的	英国的 British English
广阔的	广阔的 broad vast
咖啡色	咖啡色 brown
建筑物	建筑物 building
布告牌	布告牌 bulletinboard
把烧光	把烧光 burtotheground
灌木丛	灌木丛 bush
矮树丛	矮树丛 bush
停车站	停车站 busstop stop
不迟于	不迟于 by by
到为止	到为止 by
在附近	在附近 by
乘飞机	乘飞机 byair
白天里	白天里 byday
回头见	回头见 byebye
到时候	到时候 bythetime
顺便说	顺便说 bytheway
乘火车	乘火车 bytrain
卷心菜	卷心菜 cabbage
洋白菜	洋白菜 cabbage
咖啡馆	咖啡馆 cafe
回电话	回电话 callback ringback
平静地	平静地 calmly inpeace quietly
沉着地	沉着地 calmly
照相机	照相机 camera
摄相机	摄相机 camera
宿营营	宿营营 camp
加拿大	加拿大 Canada
独木舟	独木舟 canoe
小汽车	小汽车 car
谨慎的	谨慎的 careful
小心的	小心的 careful
仔细的	仔细的 careful
小心地	小心地 carefully
